Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete
6705140a2711bf437cd41c33,Finish Dialogue System,https://trello.com/c/Kj1lKIaF/14-finish-dialogue-system,"# Week 3

In week 3 the developers will continue working on their own assignments

This will be done by the Developer 1

- Finish dialogue system",Dialogue System (orange),developer1212,,0,,0,0,0,0,2024-10-08T15:05:57.052Z,6705136a89dc2be5b80973df,Sprint 4,6705131d35792e397ef39843,Educational Maths Game Development,false,,false
67051418feadba018e604075,Implement Localization,https://trello.com/c/hscbZk0e/16-implement-localization,"# Week 5

In week 5 the developers will have finished their assigned work and will start developing the progression system doing pair programming.

This will be done by general developer

- Finish the Spanish localization.
- Implement the Spanish and Korean localization",Localization (blue),elgoni64,,0,,0,0,0,0,2024-10-08T15:06:08.133Z,6705136e3e1427f1b4956349,Sprint 5,6705131d35792e397ef39843,Educational Maths Game Development,false,,false
670513f5d2ae4cfe4639fdef,Begin Progression System,https://trello.com/c/eQp7Iv4F/10-begin-progression-system,"# Week 5

In week 5 the developers will have finished their assigned work and will start developing the progression system doing pair programming.

This will be done by Developer 1 and 2

- Design the progression system.
- Setup the points where the game will save.
- Begin implementing the system.",Progression System (pink),"developer1212, zombidito66",,0,,0,0,0,0,2024-10-08T15:06:17.860Z,6705136e3e1427f1b4956349,Sprint 5,6705131d35792e397ef39843,Educational Maths Game Development,false,,false
6705144d22e7d6d86a1cd4ff,Begin Rewards System,https://trello.com/c/8etamDvY/20-begin-rewards-system,"# Week 6

In week 6 the developers will start designing the reward system.

This will be done by general developer.

- Design the reward system.
- Begin implementing the system.",Rewards System (sky),elgoni64,,0,,0,0,0,0,2024-10-08T15:06:38.396Z,670513730a7037d41af68f6e,Sprint 6,6705131d35792e397ef39843,Educational Maths Game Development,false,,false
67051db55b18a5f92de57f82,Continue Progression System,https://trello.com/c/6uulk5PF/21-continue-progression-system,"# Week 6

In week 6 the developers will continue with the progression system doing pair programming.

This will be done by Developer 1 and 2

- Continue with the progression system.",Progression System (pink),"developer1212, zombidito66",,0,,0,0,0,0,2024-10-08T15:07:22.441Z,670513730a7037d41af68f6e,Sprint 6,6705131d35792e397ef39843,Educational Maths Game Development,false,,false
67051435a71d73b458bcf1d0,Finish and Implement Rewards System,https://trello.com/c/AxS9smZz/18-finish-and-implement-rewards-system,"# Week 7

In week 7 the developers will finish working on the assigned systems but each on their own,

This will be done by general developer

- Finish the reward system.",Rewards System (sky),elgoni64,,0,,0,0,0,0,2024-10-08T15:06:49.714Z,67051378151d9db248c59bfc,Sprint 7,6705131d35792e397ef39843,Educational Maths Game Development,false,,false
670514432f36e147f35e3dd6,Begin Sound Effects and Animations,https://trello.com/c/dTnTM7AD/19-begin-sound-effects-and-animations,"# Week 7

In week 7 the developers will finish working on the assigned systems but each on their own.

This will be done by Developer 2

- List all the sound effect and animations needed.
- Decide witch ones to do and witch to buy.
- Find the assets online and buy them.
- Create the needed assets.",Sound Effects and Animations (lime),zombidito66,,0,,0,0,0,0,2024-10-08T15:06:55.393Z,67051378151d9db248c59bfc,Sprint 7,6705131d35792e397ef39843,Educational Maths Game Development,false,,false
67051e605dab09408fdad558,Finish Progression System,https://trello.com/c/G4d9tzWE/22-finish-progression-system,"# Week 7

In week 7 the developers will finish working on the assigned systems but each on their own,

This will be done by Developer 1

- Finish the progression system.",Progression System (pink),developer1212,,0,,0,0,0,0,2024-10-08T15:07:00.852Z,67051378151d9db248c59bfc,Sprint 7,6705131d35792e397ef39843,Educational Maths Game Development,false,,false
670513c0c4b73c731f050c6b,Finish Sound Effects and Animations:,https://trello.com/c/2jBzlQDN/1-finish-sound-effects-and-animations,"# Week 8

In week 8 the developers will finish the systems and do general testing

This will be done by Developer 1 and developer 2

- Implement the sound and animation assets.
- Test the end result.",Sound Effects and Animations (lime),"developer1212, zombidito66",,0,,0,0,0,0,2024-10-08T15:07:07.016Z,6705137c946b3a0db2ce0a48,Sprint 8,6705131d35792e397ef39843,Educational Maths Game Development,false,,false
67052be6adf46aa956575dca,Testing,https://trello.com/c/jOoXoqi5/24-testing,"# Week 8

In week 8 the main developer will test the whole project and will check if all the systems work together.

This will be done by general developer

- Test the game.
- Fix small bugs and issues.",Testing (purple),elgoni64,,0,,0,0,0,0,2024-10-08T14:41:47.574Z,6705137c946b3a0db2ce0a48,Sprint 8,6705131d35792e397ef39843,Educational Maths Game Development,false,,false
